Latitude,Longitude,Country,PowerPlant Site
59.837,29.039,Russia,True
40.225,-75.584,United States,True
40.225,-75.584,United States,True
22.606,114.55,China,True
22.606,114.55,China,True
22.609,114.552,China,True
22.609,114.552,China,True
60.372,26.342,Finland,True
60.372,26.342,Finland,True
25.038,121.924,Taiwan,True
25.038,121.924,Taiwan,True
35.433,-80.946,United States,True
35.433,-80.946,United States,True
35.701,135.962,Japan,True
41.312,-72.166,United States,True
41.312,-72.166,United States,True
48.261,18.455,Slovakia,True
48.261,18.455,Slovakia,True
48.261,18.455,Slovakia,True
45.334,-93.85,United States,True
28.156,78.409,India,True
28.155,78.409,India,True
43.522,-76.412,United States,True
43.522,-76.412,United States,True
27.046,120.287,China,True
27.046,120.287,China,True
27.046,120.287,China,True
27.046,120.287,China,True
48.517,3.52,France,True
48.517,3.52,France,True
38.061,-77.792,United States,True
38.061,-77.792,United States,True
51.273,39.197,Russia,True
51.273,39.197,Russia,True
51.275,39.206,Russia,True
52.381,39.211,Russia,True
34.796,-82.894,United States,True
34.796,-82.894,United States,True
34.796,-82.894,United States,True
35.544,135.652,Japan,True
35.544,135.652,Japan,True
61.235,21.444,Finland,True
61.235,21.444,Finland,True
61.234,21.435,Finland,True
57.415,16.666,Sweden,True
46.574,18.855,Hungary,True
46.574,18.855,Hungary,True
46.574,18.855,Hungary,True
46.574,18.855,Hungary,True
33.387,-112.863,United States,True
33.387,-112.863,United States,True
33.387,-112.863,United States,True
49.857,0.635,France,True
49.857,0.635,France,True
49.857,0.635,France,True
49.857,0.635,France,True
39.759,-76.27,United States,True
39.759,-76.27,United States,True
49.975,1.215,France,True
49.975,1.215,France,True
41.801,-81.147,United States,True
43.812,-79.07,Canada,True
43.812,-79.07,Canada,True
43.812,-79.07,Canada,True
43.812,-79.07,Canada,True
43.812,-79.07,Canada,True
43.812,-79.07,Canada,True
44.282,-87.534,United States,True
44.282,-87.534,United States,True
45.068,-66.455,Canada,True
44.622,-92.631,United States,True
44.622,-92.631,United States,True
30.44,120.95,China,True
30.44,120.95,China,True
30.44,120.95,China,True
30.44,120.95,China,True
30.44,120.95,China,True
30.44,120.95,China,True
30.44,120.95,China,True
41.727,-90.308,United States,True
41.727,-90.308,United States,True
43.279,-77.311,United States,True
24.876,75.608,India,True
24.876,75.608,India,True
24.876,75.608,India,True
24.876,75.608,India,True
24.876,75.608,India,True
57.259,12.111,Sweden,True
57.259,12.111,Sweden,True
30.727,-91.372,United States,True
47.599,42.373,Russia,True
47.599,42.373,Russia,True
47.599,42.373,Russia,True
47.599,42.373,Russia,True
51.326,25.9,Ukraine,True
51.326,25.9,Ukraine,True
51.326,25.9,Ukraine,True
51.326,25.9,Ukraine,True
39.463,-75.534,United States,True
39.463,-75.534,United States,True
29.101,121.642,China,True
29.101,121.642,China,True
42.897,-70.849,United States,True
31.834,130.193,Japan,True
31.834,130.193,Japan,True
35.228,-85.094,United States,True
35.228,-85.094,United States,True
35.635,-78.955,United States,True
36.979167,122.530556,China,True
35.722,129.479,South Korea,True
35.722,129.479,South Korea,True
37.083889,129.391667,South Korea,True
35.327,129.302,South Korea,True
35.327,129.302,South Korea,True
35.327,129.302,South Korea,True
35.327,129.302,South Korea,True
52.212,1.621,United Kingdom,True
54.169,33.245,Russia,True
54.169,33.245,Russia,True
54.169,33.245,Russia,True
28.797,-96.044,United States,True
28.796,-96.044,United States,True
47.811,31.22,Ukraine,True
47.811,31.22,Ukraine,True
47.811,31.22,Ukraine,True
45.404,4.754,France,True
45.404,4.754,France,True
47.724,1.582,France,True
47.72,1.581,France,True
27.348,-80.244,United States,True
27.348,-80.244,United States,True
34.299,-81.314,United States,True
37.166,-76.7,United States,True
37.166,-76.7,United States,True
41.093,-76.143,United States,True
41.093,-76.143,United States,True
21.917778,112.981944,China,True
21.917778,112.981944,China,True
35.52,135.503,Japan,True
35.52,135.503,Japan,True
19.834,72.657,India,True
19.834,72.657,India,True
49.181,14.377,Czechia,True
49.181,14.377,Czechia,True
34.69,119.456,China,True
34.69,119.456,China,True
34.6868,119.456,China,True
34.6858,119.456,China,True
34.6838,119.456,China,True
34.6828,119.456,China,True
50.533,5.271,Belgium,True
50.533,5.271,Belgium,True
55.966,-2.399,United Kingdom,True
55.966,-2.399,United Kingdom,True
44.33,4.733,France,True
44.33,4.733,France,True
44.331,4.733,France,True
44.331,4.733,France,True
40.699,-2.622,Spain,True
25.435,-80.33,United States,True
25.435,-80.33,United States,True
40.949,0.867,Spain,True
33.143,-81.76,United States,True
33.143,-81.76,United States,True
33.1399,-81.7686,United States,True
29.994,-90.471,United States,True
35.601,-84.789,United States,True
35.601,-84.789,United States,True
38.239,-95.691,United States,True
35.71,129.476,South Korea,True
35.71,129.476,South Korea,True
35.71,129.476,South Korea,True
21.706,112.256,China,True
21.706,112.256,China,True
21.706,112.256,China,True
21.8575,111.9825,China,True
21.8575,111.9825,China,True
21.8575,111.9825,China,True
47.508,34.627,Ukraine,True
47.508,34.627,Ukraine,True
47.508,34.627,Ukraine,True
47.508,34.627,Ukraine,True
47.508,34.627,Ukraine,True
47.508,34.627,Ukraine,True
21.6,108.3,China,True
24.845,66.79,Pakistan,True
24.845,66.79,Pakistan,True
36.144444,33.541111,Türkiye,True
36.144444,33.541111,Türkiye,True
36.144444,33.541111,Türkiye,True
36.144444,33.541111,Türkiye,True
-23.01,-44.47,Brazil,True
54.939,22.162,Russia,True
28.8287,50.8895,Iran,True
-33.966667,-59.211111,Argentina,True
31.044167,28.497778,Egypt,True
49.537,-1.881,France,True
36.704,121.382,China,True
36.704,121.382,China,True
51.2087,-3.1305,United Kingdom,True
51.2087,-3.1305,United Kingdom,True
21.236,73.351,India,True
12.553,80.174,India,True
50.303056,26.642778,Ukraine,True
50.303056,26.642778,Ukraine,True
8.16705,77.708,India,True
8.16666,77.708,India,True
8.16627,77.708,India,True
8.16588,77.708,India,True
48.261,18.455,Slovakia,True
41.507,140.909,Japan,True
24.876,75.608,India,True
24.876,75.608,India,True
29.101111,121.651944,China,True
29.101111,121.656944,China,True
35.537,132.999,Japan,True
37.083889,129.391667,South Korea,True
35.327,129.302,South Korea,True
35.327,129.302,South Korea,True
33.1399,-81.7712,United States,True
23.829167,117.491667,China,True
23.952748,52.203298,United Arab Emirates,True
21.6,108.3,China,True
24.066667,89.047222,Bangladesh,True
51.674,35.607,Russia,True
24.066667,89.047222,Bangladesh,True
51.674,35.607,Russia,True
22.693056,114.983333,China,True
23.829167,117.491667,China,True
22.693056,114.983333,China,True
26.803611,120.155,China,True
26.803611,120.155,China,True
27.201487,120.517974,China,True
36.965556,122.52,China,True
36.965556,122.52,China,True
19.46075,108.899917,China,True
40.351389,120.545833,China,True
40.351389,120.545833,China,True
34.6828,119.456,China,True
34.6828,119.456,China,True
19.46075,108.899917,China,True
19.46007,108.88992,China,True
56.637414,84.90451,Russia,True
27.201487,120.517974,China,True
31.044167,28.497778,Egypt,True
31.044167,28.497778,Egypt,True
-17.975498212661982,177.69157026653016,Fiji,False
-18.137659562639648,178.26124299394735,Fiji,False
-17.888804265733643,177.73464786698491,Fiji,False
-17.53449339733132,178.5478438797777,Fiji,False
-16.44218495559821,179.51348644153217,Fiji,False
-17.732973621443534,177.8118592292891,Fiji,False
-17.585222703159285,178.24293620610416,Fiji,False
-17.839561377903486,177.49120583882535,Fiji,False
-17.470010619728747,177.64549793938664,Fiji,False
-18.022228553852106,177.82014753605108,Fiji,False
-17.99774665669695,178.31404066282414,Fiji,False
-16.839284910049845,178.83838293511582,Fiji,False
-16.466919773714984,179.47107585052225,Fiji,False
-17.74445035123992,178.14973342406392,Fiji,False
-16.748883085971475,179.35934798987256,Fiji,False
-17.694284340926206,177.47652751559173,Fiji,False
-18.155212926788852,177.5208959744474,Fiji,False
-17.833075422540716,178.00088651847705,Fiji,False
-17.625419751449115,178.63957841920234,Fiji,False
-17.69189510174684,177.70258599867918,Fiji,False
-6.098686148477271,35.16737967851193,United Republic of Tanzania,False
-7.4359101930474445,38.25440020468993,United Republic of Tanzania,False
-5.370858449672028,32.06891858910228,United Republic of Tanzania,False
-9.233219744782607,36.31423500431126,United Republic of Tanzania,False
-1.5112255346206442,33.31153189037744,United Republic of Tanzania,False
-2.4772511322303874,34.85697144120439,United Republic of Tanzania,False
-7.656223528619619,34.294627829424556,United Republic of Tanzania,False
-10.546547360210777,34.90898150112285,United Republic of Tanzania,False
-11.253282535174813,34.87398394352729,United Republic of Tanzania,False
-9.142647012875788,36.89393604760615,United Republic of Tanzania,False
-10.00465108005267,35.8061599136575,United Republic of Tanzania,False
-7.797946333349365,30.55296672972905,United Republic of Tanzania,False
-3.2029912357665165,35.25169632206736,United Republic of Tanzania,False
-6.537612563675769,32.30711111860796,United Republic of Tanzania,False
-7.7704938187923736,36.992814429984094,United Republic of Tanzania,False
-5.910868823483146,32.04190241363876,United Republic of Tanzania,False
-2.1708917858388936,34.536018303061724,United Republic of Tanzania,False
-8.00620923916123,36.75433645929291,United Republic of Tanzania,False
-9.395451475667524,36.02312068438796,United Republic of Tanzania,False
-4.243986209341625,37.831965821472465,United Republic of Tanzania,False
24.37118536423629,-12.9657252178649,Western Sahara,False
21.620999833371968,-13.714705429814178,Western Sahara,False
26.166571029159428,-8.946811597219773,Western Sahara,False
21.406399089099008,-14.64246625179952,Western Sahara,False
23.827818630965893,-12.211596094163422,Western Sahara,False
26.124734353516722,-8.766161345233053,Western Sahara,False
24.333207956677647,-12.981933546253357,Western Sahara,False
26.44437250709798,-11.284251929272346,Western Sahara,False
22.16669507702565,-13.439356115153178,Western Sahara,False
23.549276632727064,-12.258789118852002,Western Sahara,False
25.92210280634037,-10.278356608693585,Western Sahara,False
23.372689945969594,-13.309832796662766,Western Sahara,False
